Headword,POS,Definition
ภักษา,ก.,กิน (ภ.
ภักษา,ก.,).
ภาพแมว,น.,ชื่อสัตว์ชนิดหนึ่ง คล้ายกระรอก แต่ตัวใหญ่กว่า (ดู พับแมว).
ภาพยนตร์,น.,"ภาพยนตร์, ภาพที่ฉายด้วยเครื่องทำให้เห็นภาพเคลื่อนไหวได้ (ดู หนัง"
ภาพยนตร์,น.,๓.) ๒. หุ่นซึ่งผูกขึ้นด้วยเวทมนตร์คาถา.
ภาษา,น.,"ภาษา, ถ้อยคำที่ใช้พูดหรือเขียนเพื่อสื่อความหมายของชนกลุ่มใดกลุ่มหนึ่ง, โดยปริยายหมายถึงคนที่พูดภาษานั้"
ภาษา,น.,
ภาษา,ว.,ประสีประสา เช่น แด็กยังไม่โร้ภาษา - เด็กที่ยังไม่รู้ประสีประสา.
ภูเขาทอง,น.,ชื่อพันธุ์ข้าวพื้นเมือง (
ภูเขาทอง,ก.,บ.).
ภูมิ,น.,"แผ่นดิน, พื้น, ชั้น, พื้นเพ."
ภูมิ,ภูมิเจ้าเท่,"น. พระภูมิ, เทวดารักษาสถานที่ต่าง ๆ. ว. ๑. สง่า, องอาจ, ผึ่งผาย"
ภูมิ,ภูมิฐาน,ก็ว่า.
ภูมิ,,"๒. วางท่าทาง, หยิ่ง เช่น ไอ้เถ้านี่ภูมิอี้ตาย - นายคนนี้หยิ่งมาก."
เภท,น.,๑. ธรรมดา เช่น เภทหมันเป็นคนพ้นนั้น - ธรรมดามันเป็นคนเช่นนั้
เภท,น.,๒. คุณไสย เช่น ป้าเราแกถูกเภท รักษาเท่าใดก็ไม่หาย - ป้าแกถูกคุณไสย รักษาเท่าไรก็ไม่หาย.
โภต,น.,ภูตผี
