Headword,POS,Definition
พก,น​.​ พก - สิ่งที่อยู่ในห่อที่นำติดตัวไป,
พก,ลัก.,เรียกของที่พก
พก,ก.,พก เอาผ้าหุ้มห่อ นำไปกับตัว ซ่อนไปกับตัว
พกซก,ว.,"กระโดกกระเดก ไม่เรียบร้อย เช่น ล่นพกซก - วิ่งอย่างกระโดกกระเดก ลักษณะสิ่งของขนาดใหญ่ที่เป็นกระเชิง, ก็ว่า., ทาม - ที่ริมฝั่งน้ำ มีน้ำท่วมเป็นครั้งคราว ดงหญ้า หรือดงไม้ที่ขึ้นเป็นหมู่ๆ แขม ก็ว่า."
พง,น.,หญ้าพง เรียกว่า หย้าพง
พงช้าง,น.,เถาหนอนตายอยาก
พงส์,น.,เผ่าพงศ์ เชื้อสาย สกุล
พณิชะ,น.,ผู้ค้า พ่อค้า
พธิราหูหนวก,น.,ชื่อชาดกเรื่องหนึ่งซึ่งตัวเอกคือนางพธิราเป็นคนหูหนวก
พน,น.,ป่า พง ดง
พ้น,ว.,"นอกเขตออกไป, ก็ว่า."
พ้นเช่น,ว.,มากเกินไป หมดกำหนด หมดอายุขัย
พนิดา,น.,วนิดา - หญิง หญฺงสาว ปรากฏใน โคลงนิราศหริภุญชัย
พบ,ก.,พบ - เห็น ปะ ประสบ
พม่า,น.,ชื่อประเทศ
พม่า,น.,ชื่อทำนองเพลงที่พระราชชายาเจ้าดารารัศมีให้ประดิษฐ์ขึ้นเรียก ระบำพม่า หรือ เพลงพม่า มักใช้ขับลำนำเรื่อง เจ้าสุวัตกับนางบัวคำ
พยัคฆะ,น.,พยัคฆ์ - เสือโคร่ง
พยัญชนะ,น.,พยัญชนะ  - ตัวหนังสือ ตั้งแต่ ก ถึง ฮ
พยัญชนะ,น.,กับข้าวอย่างแห้งคู่กับ สูปะ ซึ่งหมายถึงแกง
พยัพ,น.,พายัพ - ทิศตะวันตกเฉียงเหนือ
พยาธิ,น.,พยาธิ - ความเจ็บไข้
พยุ,น.,พายุ - ลมแรง
พร่วม,ว.,"ร่วมกัน พร้อมเพรียง ครบครัน ในขณะเดียวกัน ทันกัน, ก็ว่า."
พร่วมกัน,ว.,พร้อมกัน ในเวลาเดียวกัน
พรหม,น.,พรหมตามคติพุทธศาสนา อยู่ในพรหมโลก แยกเป็นจำพวก มีรูปร่างเรียก รูปพรหม มี ๑๖ ชั้น จำพวกไม่มีรูปร่างเรียก อรูปพรหม มี ๔ ชั้น
พรหม,น.,ชื่อพระเป็นเจ้าผู้สร้างโลกตามคติในศาสนาพราหมณ์
พรหมจักกะ,น.,จักรวาล คำสอนของพระพุทธเจ้า ชื่อชาดกนอกนิบาตเรื่องหนึ่งของล้านนาที่มีเนื้อหาคล้ายเรื่องรามเกียรติ์โดยมีชื่อตัวละครเอกเป็นชื่อเดียวกับชาดกเรื่องนี้
พรหมมินท์,น.,ผู้เป็นใหญ่ในหมู่พรหม ชื่อกวีผู้แต่งคร่าว หรือฅ่าวซอชาวล้านนาผู้มีชีวิตอยู่ระหว่างปี พ.ศ.​๒๓๔๕ - ๒๔๓๐
พรหมวิหาร,น.,ธรรมของพรหมหรือของท่านผู้เป็นใหญ่ มี ๔ คือ เมตตา กรุณา มุทิตา อุเบกขา
พรอง,ก.,​ ปอง พยายาม มุ่งหมาย ซุ่มรอโอกาส
พรอง,ว.,"กำลัง เพิ่งจะ พึ่งจะผ่านเวลานั้นไป, ก็ว่า."
พรองหา,ว.,"พึ่ง เพิ่งจะ หมายถึงเวลาที่ล่วงไปหยกๆ ในขณะที่พูดนั้น, ก็ว่า."
พรองเอา,ก.,"รอโอกาส พยายามหาโอกาส, ก็ว่า."
พร่อง,ว.,"บ้าง บางสิ่ง บางส่วน บางคน ไม่เต็มอัตรา, ก็ว่า."
พรอนแพรน,ว.,"หร็อมแหร็ม หยอมแหยม - ไม่หนาแน่น, ก็ว่า."
พร้อม,น.,มติจากที่ประชุมเรียก คำพร้อม
พร้อม,ก.,ประชุม เข้าประชุม
