Headword,POS,Definition
ส (-ะ) ๒,"เป็นคำประกอบหน้าคำอื่น มีความหมายว่ากอรปด้วย, พร้อมด้วย, มีร่วมกัน, เช่นเดียวกับ เช่น สเทวก = พร้อมด้วยเทวดา, สธัมมิก = มีธรรมร่วมกัน (ป., ส.)",
สก (-ะ-ะ) ๑,ว.,ของตนเอง (ส.)
สก (-ะ-ะ) ๑,สกวาที,น. ผู้กล่าวถ้อยคำฝ่ายตน คือผู้สนับสนุน คู่กับปรวาที ผู้กล่าวถ้อยคำฝ่ายอื่น คือผู้คัดค้าน
สก ๒,น.,ผม (ข.)
สก ๓,ก.,ทำให้สะเด็ดน้ำ เช่น เอาข้าวที่ซาวน้ำแล้วใส่ตะแกรงเพื่อให้น้ำแห้ง เรียกว่า สก
สกฏ,น.,เกวียน
สกฏ,สกฏภาร,น. ของบรรทุกเกวียน
สกนธ์,น.,"กอง, พวก, จำนวนมาก, ส่วน, ภาค, ร่างกาย, ขันธ์ทั้งห้า (ส.)"
สกปรก,ว.,"เลอะ, เปรอะ, เปื้อน, ไม่สะอาด, มีราคี, น่ารังเกียจ, เลวทราม"
สกรณีย์,น.,ผู้ยังมีหน้าที่จะกระทำ
สกรรจ์,ว.,"ฉกรรจ์, หนุ่ม, แข็งแรง, อาจหาญ, เก่งกาจ, ร้าย, ดุร้าย"
สกรรมกริยา,น.,คำกริยาที่ต้องมีกรรมมารับ
สกรรมธาตุ,น.,ธาตุที่มีกรรมเข้ามารับ
สกล ๑,ว.,"เต็ม, พร้อม, สมบูรณ์, ทั่ว, ทั้งหมด, ทั้งสิ้น ใช้"
สกล ๑,สากล,ก็ใช้
สกล ๑,สกลก,"น. กายทั้งหมด, ทั่วร่าง"
สกล ๑,สกลโลก,"น. โลกทั้งสิ้น, ทั้งโลก, ทั่วโลก"
สกล ๒,น.,"ส่วน, ซีก, ครึ่ง (ส.)"
สกัด,ก.,กั้น หรือขวาง เช่น สกัดหน้า
สกัด,ก.,สลัก หรือตอกเจาะของแข็งให้ร่องรอย หรือรูปร่างต่าง ๆ ด้วยเครื่องมือคล้ายลิ่ม เรียกว่า เหล็กสกัด
สกัด,ก.,บีบเค้น หรือคั้นเอาออกมา เช่น สกัดน้ำมัน เดิมเขียน สะกัด
สกา,น.,"เครื่องเล่นการพนันอย่างหนึ่ง มีกระดานเป็นตาคล้ายหมากรุก ใช้ลูกบาศก์ทอด แล้วเดินตัวสกาตามแต้มลูกบาศก์ตาหมากสกามี ๒๔ ตา มีลูก ๔ ลูก ลูกที่ ๑ ชื่อมาลี ลาวเรียกว่า เพโจกมี ๘ แต้ม, ลูกที่ ๒ ชื่อ สาวะตี ลาวเรียกว่า เพตี มี ๖ แต้ม, ลูกที่ ๓ ชื่อ พะทุลี ลาวเรียก เพทู มี ๔ แต้ม, ลูกที่ ๔ ชื่อ สันติพะทะ ลาวเรียก เพเบ็ง หรือ เพเม มี ๒ แต้ม รวมทั้งหมดมี ๒๐ แต้ม"
สกาว,ว.,"ขาว, สะอาด, บริสุทธิ์, หมดจด"
สกุณ,น.,"นก (ป., ส.)"
สกุณ,สกุณจาป,น. ลูกนก (ป.)
สกุณ,สกุลบท,"น. ทางนก คือ ท้องฟ้า, อากาศ (ป.)"
สกุณา,น.,นก
สกุณี,น.,"นางนก, นกตัวเมีย (ป., ส.)"
สกุนต์,น.,นก (ส.)
