Word,POS,Definition
กก,น.,โคน อย่าง โคนต้นไม้
กก,น.,ชื่อเรียกนกเงือก
กก,น.,ชื่อแม่น้ำใน จังหวัดเชียงราย
กก,น.,ชื่อหญ้าชนิดหนึ่งใช้ทำเลื่อ เรียกว่าเลื่อกก
กก,ก.,สับ บั่น ฟัน ตัด เซ่น กก เกง  สำนวน.  กกหางปล่อยวัด กกหัวกกหาง
กกดก,ก.,กระดกขึ้น เผยอขึ้น
กกหงก,ว.,ทนโท่
กง,น.,คันธนู คันกระสุน คันดีดฝ้าย หนังสะติ๊ก
กง,น.,หญ้าชนิดหนึ่งนิยมใช้ก้านดอกทำไม้กวาด เรียก หญ้าตองกง
กงกอน,น.,เครื่องยิงทำด้วยไม้ไผ่ มีสายป่าน ลองลาย มีที่บรรจุลูกยิงเรียก ลูกกง
กงเกง,น.,ไม้สูง - เครื่องเล่นเด็กที่ใช้ต่อขา ให้สูง
กงเกวียน,น.,กงล้อของเกวียน
กงไกว,น.,เครื่องมือเจาะไม้ชนิดหนึ่งมี ลักษณะเป็นสว่าน แต่ใช้คันชักคล้ายคันธนู
กงธนู,น.,คันธนู
กงปีดฝ้าย,น.,กงดีดสาย - คือคัน อย่างคันกระสุนใช้ดีดสายให้ขึ้นปุย
กงสายใจ,น.,เส้นเลือดใหญ่ที่ไปเลี้ยงหัวใจ เส้นที่หล่อเลี้ยงชีวิต
กงหาง,น.,ซองหางสำหรับยึดหลัง อานม้า
กงเฮง,น.,เสื้อกุยเฮงแบบจีน เป็นเสื้อคอกลมผ่าอกใช้กระดุมหรือเชือกเพื่อยึดช่วงอก มักย้อมคราม
กทำ,ก.,กระทำ ทำ คิดทำ คำนวณหา คำนวณเทียบ (ทวี สว่างปัญญางกูร)
ก้นแต็บ,น.,ก้นแฟบ
ก้นแต็บ,น.,ก้นแฟบ
ก้นล้ง,ว.,เรียกภาชนะที่ก้นทะลุ เซ่น หม้อก้นด้ง  สำนวน.  เรียกผู้หญิงสำส่อนทางเพศ
ก้นห้วย,น.,ท้องลำธาร ในท้องห้วย
ก้นอย่อน,น.,ก้นกบ
กบกินเดือน,น.,จันทรคราส ราหูอมจันทร์
กบทือเดือน,น.,จันทรคราส ราหูอมจันทร์
กม,ว.,ทั้งปวง ทั้งหมด ทั้งสิ้น
กรอก,น.,นกยางกรอก
กร็อก,น.,ธัมมกรก - เครื่องกรองน้ำดื่มสำหรับภิกษูสงฆ์
กรอม,น.,ชาวเขมรโบราณ
กระกูล,น.,ตระกูล
กระจวน,ว.,ละเอียดเป็นจุณ
กระจอนหู,น.,ตุ้มหู
กระแจ,น.,กุญแจ
กระแจขำ,น.,ชื่อลายสลัก หรือฉลุในศิลปะล้านนา ภาคกลางเรียก ลาย ประแจจีน
