Word,POS,Definition
มกคก,ว.,ลักษณะของสิ่งที่มีสัณฐานใหญ่และนูน
มกระ,น.,มังกร ชื่อดาวราศีที่ ๑๐
มคธภาสา,น.,ภาษาของชาวมคธ ซึ่งหมายถึงภาษาบาลี
มคธะ,น.,แคว้นมคธ - ชื่อเคว้นหนึ่งในอินเดียสมัยพุทธกาล ปัจจุบันนิยมเรียก พิหาร
มณฑก,น.,มณฑป - เรือนยอดที่มีรูปสี่เหลี่ยมกบ
มณี,น.,แก้วมณี หม้อน้ำ
มณีกักขิ์,น.,ชื่อที่นิยมใช้เป็นชื่อม้าในวรรรคดี แปลว่ามีดวงตาดั่งดวงมณี ซึ่งมักเขียนว่า
มด,น.,มด
มด,น.,หมอผี หมอเวทมนตร์ ซึ่งมักเรียก พ่อมด แม่มด
มด,น.,ผีบรรพบุรุษของเผ่าไทยวน มักใช้ร่วมกับ ผีเฝง ซึ่งเป็นผีบรรพบุรุษของเผ่ามอญ ผีมดผีเมง ซึ่งหมายถึงผีบรรพบุรุษ
มดง่าม,น.,มดคันไฟ
มดง่ามแดง,น.,มดคันไฟ
มดดำ,น.,มดดำ
มดแดงน้อย,น.,มดคันไฟ
มดแดงไฟ,น.,มดคันไฟ
มดน้ำอ้อย,น.,มดตาลาน
มดรี่,น.,มดชนิดหนึ่งคล้ายมดส้ม ตัวดำ ไข่กินได้
มดลม,น.,มดชนิดหนึ่งก้นแหลม กัดเจ็บ มีพิษ
มดลิ้น,น.,มดตะนอย
มดตะขีด,น.,กามโรค
มธุ,น.,น้ำหวาน น้ำผึ้ง
มธุปายาสะ,น.,ข้าวปายาสเจือน้ำผึ้ง ใช้เป็นของหวานในงานรื่นเริง
มน,ก.,มน วน
มน,ว.,กลม โค้งๆ ไม่เป็นเหลี่ยม
มนแคว็ด,ว.,กลมดิก
มนตรี,น.,ที่ปรึกษา ข้าราชการชั้นผู้ใหญ่
มนไพมนมา,ก.,วนเวียนไปมา เคว้งคว้าง
มนต์,ก.,​ เสกด้วยคาถา
มนต์สวาธ,ก.,เสกด้วยคาถา (กวีนิพนธ์)
มนะ,น.,ใจ
มนุสส์,น.,คน มนุษย์
มโน,น.,ใจ
มโนรถะ,น.,ความหวัง ความประสงค์
มโนรา,น.,ชื่อตัวละครเอกฝ่ายหญิงในเรื่องสุธนชาดก
มโนสิลา,น.,​​ ศิลาอ่อนที่บดให้ละเอียดผสมเป็นสีทาสิ่งอื่นได้ อีกนัยหนึ่งว่าสารหนูแดง เรียกหินลายสีแดง
มยัง,น.,พวกเรา เราทั้งหลาย
มยุระ,น.,นกยูง
มรณธัมม์,น.,มีความตายเป็นของธรรมดา
มรณะ,น.,​ ความตาย
มระ,น.,ความตาย
มลมุลทิน,ว.,ความมัวหมอง
มละ,ก.,ละ ทิ้ง
มละ,น.,ความมัวหมอง ความสกปรก มลทิน
มละ,ว.,ไม่บริสุทธิ์
มลัก,ก.,มัก - ชอบ รัก พอใจ ลัก ลอบ ปรกติใช้ มัก
มล้า,น.,ม้า
มลาย,ก.,คลี่ออก เบาไป คลาย
มลารัฎฐะ,น.,นครหลวงพระบางหรือล้านช้างแต่ไม่ปรากฏบ่อย
มลื่น,ว.,ลื่น มื่น
มวก,น.,น้ำที่ได้จากการแช่ข้าวเรียกว่า น้ำเข้ามวก
มวก,น.,เถามวกเขา
มวก,ว.,มีสีอย่างน้ำที่ได้จากการแช่ข้าว
ม่วน,น.,ต้นทอ บ่าม่วน ( ล. )
ม่วน,ว.,ไพเราะ สนุก เพลิดเพลิน สะดวก
ม่วนงัน,ว.,สนุกสนาน รื่นเริง
ม่วนเพราะ,ว.,ไพเราะ
ม่วนเหล้น,ว.,สนุกสนานกับการเล่น
ม่วนอกม่วนใจ,ว.,สบายใจ ปลื่มใจ กระหยิ่ม ลิงโลด
ม้วน,ก.,ม้วน
ม้วย,น.,เรียกวันที่เป็นอัปมงคล ตามตำราโหราศาสตร์
ม้วย,ก.,ม้วย - ตาย สิ้นสุด มอดหมด
ม้วยมล้าง,ก.,ตาย
มวล,ว.,มวล - ทั้งหมด ทั้งสิ้น ทั้งปวง
มวลหมู่,ว.,ทั้งปวง ทั้งหมด
มหัณณวะ,น.,ทะเลใหญ่ ห้วยน้ำใหญ่
มหันคะ,ว.,ใหญ่ มาก ยิ่ง
มหา,น.,คำเรียกภิกษุที่สอบไล่ได้ตั้งแต่เปรียญธรรม ๓ ประโยคขึ้นไป แล้วได้รับพัดยศพระราชทานจากพระมหากษัตริย์ คำเรียกภิกษุด้วยความยกย่อง
มหา,ว.,ใหญ่ ยิ่งใหญ่
มหาชาต,น.,เรียกเวสสันตระชาดกว่า มหาชาด
มหานิล,น.,แก้วสีดำมีค่ามาก
มหาบัวพิตร,น.,คำแทนพระนามพระเจ้าแผ่นดิน
มหาพน,น.,ชื่อกัณฑ์ที่ ๗ ของมหาชาติ ว่าด้วยเรื่องป่าใหญ่
มหารัฏฐะ,น.,​ แคว้นใหญ่ เชียงใหม่ - ลำพูน (ตำนาน)
มหาราชะ,น.,คำใช้เรียกเพื่อเฉลิมพระเกียรติพระเจ้าแผ่นดิน
มหาราชะ,น.,ชื่อกัณฑ์ที่ ๑๐​ ของมหาชาติเรียกว่า มหาราช
มหิยังคณะ,น.,ภูเขา เนินดิน หมายถึง เมืองยองในเขตประเทศพม่า
มเหสักขะ,น.,เทวดาผู้ใหญ่ ผู้มีศักดิ์ใหญ่
มเหสี,น.,ชายาของพระเจ้าแผ่นดิน
มโหสถ,น.,ชื่อตัวเอกในชาดกเรื่องมโหสถ ยกแก้ไข้อย่างชะงัด
มโหสรบ,น.,มหรสพ - การเล่นรื่นเริง
